Date,Adj Close,Label,Open,High,Low,Volume,Subjectivity,Polarity,compound,neg,pos,neu
2008-09-24,10825.169922,1,10850.019531,10928.400391,10753.570312,183630000,0.3669944789510006,-0.09618702553485163,-0.9982,0.278,0.038,0.685
2008-09-25,11022.05957,1,10827.169922,11129.19043,10827.009766,218530000,0.3454545454545454,-0.04112554112554112,-0.991,0.166,0.007,0.827
2008-09-26,11143.129883,0,11019.040039,11168.05957,10868.820312,232560000,0.2780808080808081,0.0724242424242424,-0.9923,0.184,0.025,0.791
2008-09-29,10365.450195,1,11139.620117,11139.94043,10365.450195,385940000,0.3552228635561969,0.029437229437229435,-0.989,0.189,0.086,0.725
2008-09-30,10850.660156,0,10371.580078,10868.900391,10371.419922,319770000,0.3792787569573285,0.09881338899196042,-0.9896,0.227,0.12,0.653
2008-10-01,10831.070312,0,10847.400391,10882.519531,10631.950195,256670000,0.5089341692789969,0.1743469174503657,-0.9935,0.212,0.108,0.68
2008-10-02,10482.849609,0,10825.540039,10825.540039,10439.519531,395330000,0.3456969696969696,0.16324242424242424,-0.9819,0.168,0.093,0.74
2008-10-03,10325.379883,0,10483.959961,10796.259766,10310.25,299690000,0.39752284752284756,-0.03813532146865481,-0.9875,0.146,0.059,0.795
2008-10-06,9955.5,0,10322.519531,10322.759766,9525.320312,391460000,0.24833333333333335,0.06578787878787877,-0.9659,0.162,0.089,0.749
2008-10-07,9447.110352,0,9955.419922,10124.030273,9436.669922,362520000,0.26796085858585855,-0.07107007575757578,-0.9929,0.169,0.053,0.779
2008-10-08,9258.099609,0,9437.230469,9628.070312,9194.780273,479270000,0.3353683897801545,0.00010398098633392982,-0.9966,0.208,0.049,0.743
2008-10-09,8579.19043,0,9261.69043,9448.139648,8579.19043,436740000,0.29977043158861344,-0.07143250688705235,-0.9977,0.214,0.042,0.744
2008-10-10,8451.19043,1,8568.669922,8901.280273,7882.509766,674920000,0.24228778467908904,0.017184265010351963,-0.9944,0.169,0.072,0.759
2008-10-13,9387.610352,0,8462.419922,9427.990234,8462.179688,399290000,0.48160009182736463,0.07499139118457299,-0.93,0.166,0.12,0.714
2008-10-14,9310.990234,0,9388.969727,9794.370117,9085.429688,412740000,0.4606376262626262,0.08440656565656568,-0.9925,0.174,0.076,0.751
2008-10-15,8577.910156,1,9301.910156,9308.759766,8530.120117,374350000,0.3785353535353535,0.03800505050505051,-0.9917,0.163,0.06,0.776
2008-10-16,8979.259766,0,8577.040039,9013.269531,8197.669922,422450000,0.2771520146520146,0.002968559218559219,-0.9667,0.147,0.091,0.763
2008-10-17,8852.219727,1,8975.349609,9281.120117,8718.25,360600000,0.3798164181497514,0.04702340869007536,-0.9931,0.185,0.077,0.738
2008-10-20,9265.429688,0,8852.299805,9266.629883,8852.219727,241400000,0.3592599067599068,0.0980827505827506,-0.9689,0.176,0.114,0.71
2008-10-21,9033.660156,0,9262.799805,9284.549805,9004.269531,231160000,0.34116462241462236,0.052696608946608936,-0.9868,0.169,0.101,0.73
2008-10-22,8519.209961,1,9027.839844,9027.839844,8335.299805,348840000,0.479421768707483,0.15748453927025355,-0.9819,0.125,0.062,0.813
2008-10-23,8691.25,0,8519.769531,8795.990234,8243.549805,340740000,0.4256256764069264,-0.03420589826839827,-0.9941,0.216,0.092,0.692
2008-10-24,8378.950195,0,8683.209961,8683.209961,8187.47998,335680000,0.2686631944444444,-0.06657986111111111,-0.9957,0.231,0.084,0.685
2008-10-27,8175.77002,1,8375.919922,8599.099609,8143.589844,281180000,0.5251133786848072,-0.07825963718820861,-0.9956,0.209,0.065,0.726
2008-10-28,9065.120117,0,8178.720215,9082.080078,8174.72998,372160000,0.4102272727272727,-0.028219696969696947,-0.9939,0.192,0.036,0.772
2008-10-29,8990.959961,1,9062.330078,9363.320312,8890.290039,316230000,0.42649572649572665,0.04349261849261848,-0.9969,0.259,0.12,0.621
2008-10-30,9180.69043,1,9004.660156,9266.469727,8976.870117,267210000,0.4433574879227052,-0.12270531400966185,-0.9989,0.293,0.054,0.653
2008-10-31,9325.009766,0,9179.089844,9454.360352,9119.200195,310950000,0.29634581105169344,-0.018694295900178258,-0.9903,0.269,0.143,0.588
2008-11-03,9319.830078,1,9326.040039,9410.549805,9255.480469,180970000,0.2392255892255892,0.002539281705948368,-0.9946,0.186,0.056,0.758
2008-11-04,9625.280273,0,9323.889648,9653.950195,9323.889648,254930000,0.2502688172043011,-0.0018817204301075194,-0.9899,0.171,0.089,0.74
2008-11-05,9139.269531,0,9616.599609,9616.599609,9111.469727,264640000,0.4643419913419912,0.012259740259740245,-0.9888,0.188,0.105,0.707
2008-11-06,8695.790039,1,9134.009766,9155.44043,8637.169922,344350000,0.3743333333333333,0.008125000000000007,-0.9941,0.194,0.059,0.747
2008-11-07,8943.80957,0,8696.030273,8961.570312,8696.030273,246300000,0.5419995877138734,0.022859891431319983,-0.992,0.19,0.063,0.746
2008-11-10,8870.540039,0,8946.599609,9159.580078,8760.459961,221230000,0.4503501400560224,0.09352559205500383,-0.9938,0.209,0.069,0.722
2008-11-11,8693.959961,0,8864.320312,8867.910156,8560.709961,257270000,0.29563852813852814,-0.05727272727272726,-0.9973,0.262,0.065,0.674
2008-11-12,8282.660156,1,8684.519531,8684.599609,8265.290039,314660000,0.3717401285583104,-0.024690082644628103,-0.991,0.149,0.016,0.835
2008-11-13,8835.25,0,8281.139648,8876.589844,7965.419922,476600000,0.40944113756613754,0.0008763227513227436,-0.9921,0.174,0.065,0.762
2008-11-14,8497.30957,0,8822.19043,8923.179688,8469.990234,304370000,0.35119047619047616,-0.05555555555555556,-0.9902,0.159,0.082,0.759
2008-11-17,8273.580078,1,8494.839844,8571.299805,8246.889648,278220000,0.2546066252587992,0.05309912008281574,-0.9819,0.148,0.051,0.801
2008-11-18,8424.75,0,8273.339844,8477.950195,8105.439941,366390000,0.41370310245310243,0.006430375180375185,-0.996,0.205,0.052,0.743
2008-11-19,7997.279785,0,8420.69043,8504.639648,7987.080078,350470000,0.3573529411764706,0.03970588235294118,0.41,0.114,0.123,0.762
2008-11-20,7552.290039,1,7995.529785,8187.399902,7506.970215,528130000,0.3909722222222222,0.07717013888888889,-0.9354,0.118,0.082,0.8
2008-11-21,8046.419922,1,7552.370117,8071.75,7449.379883,569010000,0.2951465201465201,0.03601398601398601,-0.9908,0.161,0.046,0.793
2008-11-24,8443.389648,1,8048.089844,8599.019531,8048.089844,491890000,0.2836944444444444,0.07054166666666667,-0.992,0.182,0.063,0.755
2008-11-25,8479.469727,1,8445.139648,8607.379883,8281.459961,374020000,0.2761574074074074,0.02453703703703704,-0.9953,0.208,0.052,0.74
2008-11-26,8726.610352,1,8464.490234,8726.610352,8311.169922,283920000,0.3706140350877193,0.0348086124401914,-0.9911,0.193,0.063,0.744
2008-11-28,8829.040039,0,8724.700195,8831.349609,8672.69043,155510000,0.4195932539682539,-0.057390873015873006,-0.9914,0.157,0.066,0.777
2008-12-01,8149.089844,1,8826.889648,8827.049805,8141.359863,321010000,0.6083333333333333,0.044444444444444446,-0.9614,0.15,0.096,0.754
2008-12-02,8419.089844,1,8153.75,8437.169922,8143.509766,307520000,0.46740469208211144,0.05124389051808407,-0.9979,0.239,0.081,0.68
2008-12-03,8591.69043,0,8409.139648,8624.19043,8234.150391,294680000,0.4006172839506173,-0.04583333333333334,-0.9962,0.209,0.074,0.717
2008-12-04,8376.240234,1,8587.070312,8631.990234,8259.400391,280880000,0.5074074074074074,0.04328703703703704,-0.9887,0.206,0.099,0.695
2008-12-05,8635.419922,1,8376.080078,8686.469727,8118.5,346370000,0.28867063492063494,-0.020466269841269844,-0.9979,0.274,0.079,0.647
2008-12-08,8934.179688,0,8637.650391,9026.410156,8637.490234,358970000,0.37133333333333335,0.06945454545454545,-0.9656,0.122,0.051,0.827
2008-12-09,8691.330078,1,8934.099609,8934.099609,8651.740234,284950000,0.4010582010582011,-0.018446368446368443,-0.9951,0.218,0.084,0.698
2008-12-10,8761.419922,0,8693.0,8879.219727,8646.330078,232830000,0.4335497835497835,0.13506493506493505,-0.9962,0.245,0.09,0.666
2008-12-11,8565.089844,1,8750.129883,8809.450195,8512.759766,290540000,0.4209357309357309,0.02206460206460205,-0.9931,0.166,0.057,0.777
2008-12-12,8629.679688,0,8563.099609,8682.570312,8347.80957,271030000,0.3263199444233927,-0.06435202728306179,-0.9979,0.262,0.033,0.705
2008-12-15,8564.530273,1,8628.80957,8676.280273,8469.030273,229940000,0.46282051282051273,-0.025961538461538442,-0.9337,0.107,0.071,0.822
2008-12-16,8924.139648,0,8565.650391,8958.790039,8565.650391,337190000,0.3327586206896551,0.020977011494252875,-0.9928,0.179,0.071,0.75
2008-12-17,8824.339844,0,8921.910156,8961.259766,8778.070312,239260000,0.3871212121212121,0.04015151515151515,-0.9419,0.155,0.093,0.753
2008-12-18,8604.990234,0,8823.94043,8883.360352,8527.410156,274080000,0.332106782106782,0.03364702929920321,-0.9946,0.212,0.061,0.727
